protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes,version
Diver Visual Survey,fish survey data,sample_collection_year,The year the sample was collected in the field,numeric,YYYY,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,sample_collection_month,The month the sample was collected in the field,numeric,MM,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,sample_collection_day,The day the sample was collected in the field,numeric,DD,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,block,The block at the location the sample came from: 1 or 2,numeric,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,method,"1, 2, or 0.
1 = Fish surveys; 
2 = Mobile macroinvertebrate and cryptic fish surveys; 
0 = Large, rare, or non-resident species seen outside the block boundary or the time of the survey",numeric,X,number,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,taxon_id,The unique identifier for a single taxon. This column should include ALL unique taxon_id entries from the fish survey data sheet,text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,invert_count,"Count of inverts for that invert taxa, in the block",numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,2.5,The count of fish <2.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,5,Count of fish 2.5-5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,7.5,Count of fish 5-7.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,10,Count of fish 7.5-10 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,12.5,Count of fish 10-12.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,15,Count of fish 12.5-15 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,20,Count of fish 15-20 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,25,Count of fish 20-25 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,30,Count of fish 25-30 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,35,Count of fish 30-35 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,40,Count of fish 35-40 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,50,Count of fish 40-50 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,62.5,Count of fish 50-62.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,75,Count of fish 62.5-75 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,87.5,Count of fish 75-87.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,100,Count of fish 87.5-100 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,112.5,Count of fish 100-112.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,125,Count of fish 112.5-125 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,137.5,Count of fish 125-137.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,150,Count of fish 137.5-150 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,162.5,Count of fish 150-162.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,175,Count of fish 162.5-175 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,187.5,Count of fish 175-187.5 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,200,Count of fish 187.5-200 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,250,Count of fish 200-250 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,300,Count of fish 250-300cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,350,Count of fish 300-350 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,400,Count of fish >350 cm,numeric,XXX,count,NA,10.25573/serc.14717796.v1
Diver Visual Survey,fish survey data,fish_survey_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,taxa list,taxon_id,The unique identifier for a single taxon. This column should include ALL unique taxon_id entries from the fish survey data sheet,text,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,taxa list,scientific_name,NA,NA,NA,NA,NA,10.25573/serc.14717796.v1
Diver Visual Survey,taxa list,identification_notes,NA,NA,NA,NA,NA,10.25573/serc.14717796.v1
Ulva Assay,sample metadata,deployment_year,The year the ulva assay bait was deployed in the field,numeric,YYYY,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,deployment_month,The month the ulva assay bait was deployed in the field,numeric,MM,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,deployment_day,The day the panel ulva assay bait deployed in the field,numeric,DD,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,sample_deployment_time,The time the sample was deployed in the field in 24-hour format (local time),time,HH:MM,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,deployment_year,The year the ulva assay bait was deployed in the field,numeric,YYYY,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,deployment_month,The month the ulva assay bait was deployed in the field,numeric,MM,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,deployment_day,The day the panel ulva assay bait deployed in the field,numeric,DD,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,transect,The transect at the location the sample came from: 1 or 2,numeric,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,number_deployed,Number of stakes deployed,integer,XX,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,bait_type,Type of bait used,text,NA,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,bait_missing_1_hr,Number of bait missing after 1 hour,integer,XX,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,stakes_remaining_1_hr,Number of stakes remaining after 1 hour,integer,XX,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,bait_missing_24_hr,Number of bait missing after 24 hours,integer,XX,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,stakes_remaining_24_hr,Number of stakes remaining after 24 hours,integer,XX,NA,NA,10.25573/serc.14717808.v1
Ulva Assay,sample data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14717808.v1
Sediment Organic Matter,sample_metadata,site_code,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,location_name,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,transect,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,data_collector,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,data_entry_person,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_metadata,sample_metadata_notes,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,site_code,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,location_name,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,transect,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sample_processing_year,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sample_processing_month,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sample_processing_day,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,tin_mass_g,"Empty tin mass, in grams.",decimal,XX.XX,grams,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sediment_volume_ml,"Sediment volume, in milliliters.",decimal,XX.XX,milliliters,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,tin_and_sediment_dry_mass_g,Mass of the tin and sediment after drying to a constant weight.,decimal,XX.XX,grams,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,tin_and_sediment_ash_free_dry_mass_g,Mass of the tin and ass free sediment after placing in a muffle furnace.,decimal,XX.XX,grams,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sample_processing_person,NA,NA,NA,NA,NA,10.25573/serc.14925111.v1
Sediment Organic Matter,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14925111.v1
Sampling Event Protocol,site metadata,site_code,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,location_name,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,visibility_m,Site visibility in meters,NA,NA,meters,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,habitat_type,"The habitat type of the site location, such as ""seagrass"", ""coral reef"", ""oyster reef"", ""rocky reef"", ""mangrove""",text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,temperature_c,"Temperature, measured with a probe or sonde, in degrees Celsius",numeric,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,salinity_ppt,"Salinity, measured with a probe, sonde, or refractometer, in parts per thousand",numeric,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,dissolved_oxygen,Dissolved oxygen measured by a sonde or probe,numeric,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,dissolved_oxygen_unit,Unit associated with dissolved oxygen,text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,sample_event_personnel,Person(s) participatating in sampling event. Separate multiple names with a comma,text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,photo_filename,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,photo_location,"The location where the photograph was captured, either as a latitude and longitude in decimal degrees or as a short text description, e.g. “start of transect 2”",NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,photo_direction,"The direction of the camera when the image is captured, in degrees (0-359)",numeric,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,camera_used,The model or type of camera used to capture the site photograph,text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,photographer,Person who captured the site photograph,text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,site metadata,site_notes,"Any additional notes regarding observations, context, or concerns about the site location",text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,site_code,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,location_name,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,logger_identifier,"A unique identifier assigned to each logger using the EnvLogger application. View the ""Sampling Event Protocol"" for instructions on creating IDs",text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,logger_serial_number,The serial number associated with the logger. It can be viewed using the EnvLogger application.,text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,logger_depth,The depth at which the logger is deployed,numeric,NA,meters,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,deployment_location,"The location of the logger at a sit, either as a latitude and longitude in decimal degrees or as a short text description, e.g. “start of transect 2”",text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,logger deployment,logger_deployment_notes,"Any additional notes regarding observations, context, or concerns about the logger deployment",text,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,site_code,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,location_name,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect_begin_decimal_latitude,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect_begin_decimal_longitude,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect_end_decimal_latitude,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect_end_decimal_longitude,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,depth_min_m,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,depth_max_m,NA,NA,NA,NA,NA,10.25573/serc.14555511.V1
Sampling Event Protocol,transect metadata,transect_notes,"Any additional notes regarding observations, context, or concerns about the transect",text,NA,NA,NA,10.25573/serc.14555511.V1
Marsh Composition and Allometry,sample metadata,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,data_collector,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,data_entry_person,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,sample metadata,sample_metadata_notes,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,transect,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,scientific_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,identification_notes,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,cover_code,"The cover code of the species in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,plant cover data,plant_cover_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,transect,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,bare_ground,"The cover code for bare ground in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,leaf_litter,"The cover code for leaf litter in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,standing_dead,"The cover code for standing dead in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,open_water,"The cover code for open water in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,wrack,"The cover code for wrack in the quadrat (""0"" = 0%, ""+"" = <1%) (""1"" = 1-5%) (""2"" = 5-25%) (""3"" = 25-50%) (""4"" = 50-75%) (""5"" = 75-100%)",numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,physical_disturbance_Y_N,"Indicate whether a physical disturbance is present in the quadrat, ""Y"" or ""N""",text,Y/N,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,physical_disturbance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,non-living cover data,non_living_cover_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,transect,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,quadrat_section,Optional; indicate the quadrat section associated with the sample (1 or 2),numeric,2-Jan,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,scientific_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,identification_notes,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,stem_count,The count of stems for each species in the quadrat,numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,high_abundance_method,"Indicate if the method for highly abundant plants is used for this sample with ""Y"". See the protocol for more information. Optional if the method is not used",text,Y/N,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem count,allometry_stem_count_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,transect,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,scientific_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,identification_notes,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,stem_number,"Optional; use a numeric identifier for the eight individuals measured for each species in the quadrat (1, 2, 3, 4, 5, 6, 7, 8)",numeric,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,stem_height_cm,The height of the stem in centimeters,numeric,NA,centimeters,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,stem_diameter_base,"The measured diameter of the stem at the base of the plant, in millimeters",numeric,NA,millimeters,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,stem_diameter_40cm,"The measured diameter of the stem  40 cm above the ground, in millimeters",numeric,NA,millimeters,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,allometry - stem measurements,allometry_stem_measurements_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,site_code,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,location_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,transect,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_year,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_month,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,sample_collection_day,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,quadrat,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
Marsh Composition and Allometry,shrub count per quadrat,scientific_name,NA,NA,NA,NA,NA,10.25573/serc.14896194.v1
