protocol,table,attribute,definition,variable_type,field_type,format_text,unit,version
seagrass epifauna,sample metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_processing_year,The year the sample was processed in the lab,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_processing_month,The month the sample was processed in the lab,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_processing_day,The day the sample was processed in the lab,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,data_collector,Name(s) of data collector(s),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,data_entry_person,Full name of data entry person,pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,tin_mass_g,The mass in grams of an empty measring tin,measurement,decimal,xx.xx,grams,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,tin_sample_dry_mass_g,"The mass in grams of a measring tin containing a seagrass sample, after it has been dried to a consistant dryweight",measurement,decimal,xx.xx,grams,10.25573/serc.14925114.v1
seagrass epifauna,macrophyte mass data,macrophyte_mass_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,8.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,5.6mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,4.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,2.8mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,2.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,1.4mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,1.0mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,0.71mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,0.5mm,"Count of individuals between Xmm and Ymm, where Y = the current sieve mesh size and X = the next largest sieve mesh size",measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,individuals_not_sieved,Count of individuals that were not sieved,measurement,integer,XXX,count,10.25573/serc.14925114.v1
seagrass epifauna,epifauna data,epifauna_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,cover_method,"The method used to estimate cover: Braun-Blanquet, percent bins, or point count.",categorical,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,quadrat_dimensions,Dimensions of the quadrat used during sampling (WxH),NA,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,points_in_quadrat,"The total number of points counted in a quadrat to estimate cover. A value is only necessary if using the point count method, please leave this blank if using a different method.",measurement,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,data_collector,Name(s) of data collector(s),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,data_entry_person,Full name of data entry person,pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass density,cover sample data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,cover_code,"Cover code format will depend on the method used: Braun-Blanquet uses a letter scale (A, B, C, D, E) and % bins and point count methods use numeric scale. Refer to the protocol document for more information. If reporting cover for substrate, leave scientific name blank for that row.",categorical,NA,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,sediment_type,"Type of bare substratum where sample was collected (ex. Sand, mud, mixed)",categorical,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,cover sample data,cover_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,size_mm,"The size of any mobile inverts to the nearest millimeter. If more than one individual of a given taxon is present in a single quadrat, enter a single row for each individual.",measurement,integer,XXX,millimeters,10.25573/serc.14925114.v1
seagrass density,macro invert sample data,macro_invert_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,shoots_count,"The count of seagrass shoots within the quadrat. 

Remember - Zeros are data! Please enter 0 if no seagrass shoots were present.",measurement,integer,XX,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,flowers_count,The count of seagrass flowers (if any) present  within the qudrat. Remember - Zeros are data! Please enter 0 if no seagrass flowers were present.,measurement,integer,XX,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,fruits_count,The count of seagrass fruits (if any) present  within the qudrat. Remember - Zeros are data! Please enter 0 if no seagrass fruits were present.,measurement,integer,XX,NA,10.25573/serc.14925114.v1
seagrass density,shoot count sample data,shoot_count_sample_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_dimensions,Note the (bottom) area or dimensions of the sample,NA,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_processing_year,The year the sample was processed in the lab,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_processing_month,The month the sample was processed in the lab,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_processing_day,The day the sample was processed in the lab,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,corer_dimensions,Dimensions of the corer used (w x h),NA,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,data_collector,Name(s) of data collector(s),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,data_entry_person,Full name of data entry person,pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,sample_collection_year,The year the sample was collected in the field,date,numeric,YYYY,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,sample_collection_month,The month the sample was collected in the field,date,numeric,MM,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,sample_collection_day,The day the sample was collected in the field,date,numeric,DD,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,id,text,XXX-YYY,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",id,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,transect,"The transect at the location the sample came from: 1, 2, or 3",id,numeric,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),id,numeric,NA,meters,10.25573/serc.14925114.v1
seagrass biomass,sample data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),pii,text,NA,NA,10.25573/serc.14925114.v1
seagrass biomass,sample data,tin_mass_g,The mass in grams of an empty measring tin,measurement,decimal,xx.xx,grams,10.25573/serc.14925114.v1
seagrass biomass,sample data,tin_sample_dry_mass_g,"The mass in grams of a measring tin containing a seagrass sample, after it has been dried to a consistant dryweight",measurement,decimal,xx.xx,grams,10.25573/serc.14925114.v1
seagrass biomass,sample data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",note,text,NA,NA,10.25573/serc.14925114.v1
