protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
Marsh Composition and Allometry,shrub stem measurements,transect,,,,,
Marsh Composition and Allometry,shrub stem measurements,sample_collection_year,,,,,
Marsh Composition and Allometry,shrub stem measurements,sample_collection_month,,,,,
Marsh Composition and Allometry,shrub stem measurements,sample_collection_day,,,,,
Marsh Composition and Allometry,shrub stem measurements,quadrat,,,,,
Marsh Composition and Allometry,shrub stem measurements,scientific_name,,,,,
Marsh Composition and Allometry,shrub stem measurements,identification_notes,,,,,
Marsh Composition and Allometry,shrub stem measurements,shrub_number,Optional; use a numeric identifier for each shrub measured in the quadrat,numeric,,,
Marsh Composition and Allometry,shrub stem measurements,stem_number,"Optional; use a numeric identifier for the six stems measured per shrub (1, 2, 3, 4, 5, 6)",numeric,,,
Marsh Composition and Allometry,shrub stem measurements,stem_diameter_mm,The measured diameter of the stem in mm,numeric,,millimeters,
Marsh Composition and Allometry,shrub stem measurements,alive_or_dead,"Indicate whether the stem count refers to ""alive"" or ""dead"" stems.",text,alive/dead,,
Marsh Composition and Allometry,shrub stem measurements,shrub_stem_measurements_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Fauna,sample metadata,site_code,,,,,
Marsh Fauna,sample metadata,location_name,,,,,
Marsh Fauna,sample metadata,sample_collection_year,,,,,
Marsh Fauna,sample metadata,sample_collection_month,,,,,
Marsh Fauna,sample metadata,sample_collection_day,,,,,
Marsh Fauna,sample metadata,data_collector,,,,,
Marsh Fauna,sample metadata,data_entry_person,,,,,
Marsh Fauna,sample metadata,sample_metadata_notes,,,,,
Marsh Fauna,epifauna abundance,site_code,,,,,
Marsh Fauna,epifauna abundance,location_name,,,,,
Marsh Fauna,epifauna abundance,transect,,,,,
Marsh Fauna,epifauna abundance,sample_collection_year,,,,,
Marsh Fauna,epifauna abundance,sample_collection_month,,,,,
Marsh Fauna,epifauna abundance,sample_collection_day,,,,,
Marsh Fauna,epifauna abundance,quadrat,,,,,
Marsh Fauna,epifauna abundance,scientific_name,,,,,
Marsh Fauna,epifauna abundance,identification_notes,,,,,
Marsh Fauna,epifauna abundance,count,The count of each epifauna species in the quadrat,numeric,,,
Marsh Fauna,epifauna abundance,epifauna_abundance_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Fauna,crab burrow count,site_code,,,,,
Marsh Fauna,crab burrow count,location_name,,,,,
Marsh Fauna,crab burrow count,transect,,,,,
Marsh Fauna,crab burrow count,sample_collection_year,,,,,
Marsh Fauna,crab burrow count,sample_collection_month,,,,,
Marsh Fauna,crab burrow count,sample_collection_day,,,,,
Marsh Fauna,crab burrow count,quadrat,,,,,
Marsh Fauna,crab burrow count,crab_burrow_count,The count of crab burrows in the quadrat,numeric,,,
Marsh Fauna,crab burrow count,crab_burrow_counts_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Fauna,epifauna measurements,site_code,,,,,
Marsh Fauna,epifauna measurements,location_name,,,,,
Marsh Fauna,epifauna measurements,transect,,,,,
Marsh Fauna,epifauna measurements,sample_collection_year,,,,,
Marsh Fauna,epifauna measurements,sample_collection_month,,,,,
Marsh Fauna,epifauna measurements,sample_collection_day,,,,,
Marsh Fauna,epifauna measurements,quadrat,,,,,
Marsh Fauna,epifauna measurements,scientific_name,,,,,
Marsh Fauna,epifauna measurements,identification_notes,,,,,
Marsh Fauna,epifauna measurements,sample_id,"Optional; use a numeric identifier for each sample measured (e.g. 1, 2, 3, etc.). Remember to only provide the measurements for the first 25 individuals per species in the quadrat",numeric,,,
Marsh Fauna,epifauna measurements,total_length_mm,"The total length of the bivalve or shelled gastropod, in millimeters",numeric,,millimeters,
Marsh Fauna,epifauna measurements,carapace_width_mm,"The measured carapace width for crabs ONLY, in mm",numeric,,millimeters,
Marsh Fauna,epifauna measurements,epifauna_measurements_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,,,
Marsh Fauna,infauna lab data,site_code,,,,,
Marsh Fauna,infauna lab data,location_name,,,,,
Marsh Fauna,infauna lab data,transect,,,,,
Marsh Fauna,infauna lab data,sample_collection_year,,,,,
Marsh Fauna,infauna lab data,sample_collection_month,,,,,
Marsh Fauna,infauna lab data,sample_collection_day,,,,,
Marsh Fauna,infauna lab data,sample_processing_year,,,,,
Marsh Fauna,infauna lab data,sample_processing_month,,,,,
Marsh Fauna,infauna lab data,sample_processing_day,,,,,
Marsh Fauna,infauna lab data,quadrat,,,,,
Marsh Fauna,infauna lab data,scientific_name,,,,,
Marsh Fauna,infauna lab data,identification_notes,,,,,
Marsh Fauna,infauna lab data,count,The count of each species in the sample,numeric,,,
Marsh Fauna,infauna lab data,infauna_lab_notes,"Any additional notes regarding observations, context, or concerns about the data.",,,,
